run_id,map,instance,agents,runtime,iterations,final_soc,initial_soc,failed_iterations,sat_improv_mean,iter_improv_mean,sat_conflict_pct
ost003d-i1-k100-it20-adaptive,ost003d,1,100,0.241989,21,17613,18287,0,0.05578850475402199,0.0018612817836894794,25.0
ost003d-i1-k300-it20-adaptive,ost003d,1,300,1.36104,21,54523,56167,0,0.11762334384333588,0.0014810956013428973,75.0
ost003d-i2-k100-it20-adaptive,ost003d,2,100,0.123473,21,17755,18023,0,0.040350468478063596,0.000745517241192683,15.0
ost003d-i2-k300-it20-adaptive,ost003d,2,300,1.29157,21,55059,56429,0,0.1817371280245679,0.0012273601316850659,75.0
ost003d-i3-k100-it20-adaptive,ost003d,3,100,0.142454,21,15898,16112,0,0.05197595407521464,0.0006664719077507924,25.0
ost003d-i3-k300-it20-adaptive,ost003d,3,300,1.31696,21,50485,51821,0,0.22921920321687322,0.0013029707350694266,70.0
random-32-32-20-i1-k100-it20-adaptive,random-32-32-20,1,100,0.0695129,21,2589,2834,1,0.10470769962495312,0.004487421262921614,90.0
random-32-32-20-i1-k300-it20-adaptive,random-32-32-20,1,300,1.87102,21,13001,12999,1,0.0757538045055743,-1.782955684077863e-05,85.0
random-32-32-20-i2-k100-it20-adaptive,random-32-32-20,2,100,0.0883015,21,2739,2783,0,0.12921946092430642,0.0007652176689251606,75.0
random-32-32-20-i2-k300-it20-adaptive,random-32-32-20,2,300,2.60471,21,12886,13020,1,0.06436287275687587,0.0005031235431439887,95.0
random-32-32-20-i3-k100-it20-adaptive,random-32-32-20,3,100,0.0727565,21,2570,2646,0,0.10040927841884403,0.0014423758089688742,90.0
random-32-32-20-i3-k300-it20-adaptive,random-32-32-20,3,300,1.78962,21,12282,12169,1,0.07087363405411856,-0.0004735496055120589,100.0
